node_id,longitude,latitude,girvan_newman_community
1862173148,12.3490552,45.4336591,8
1862173150,12.3493081,45.4339353,8
1862173159,12.3496928,45.4335434,8
1862173160,12.3493598,45.4338007,8
1862173161,12.3497249,45.4334433,8
298025459,12.3374828,45.4421766,1
1862173176,12.3492321,45.4338497,8
1862173184,12.3496325,45.4333217,8
3165553161,12.3229086,45.4363026,3
3165553162,12.3230441,45.4365362,3
11870077452,12.3395122,45.4367835,2
3165553163,12.3224085,45.4366823,3
3165553168,12.3234093,45.4371797,3
5151752721,12.3114457,45.4331035,0
5151752723,12.3116619,45.432665,0
5151752724,12.311858,45.4327135,0
5151752727,12.3114838,45.4330258,0
5151752725,12.3113692,45.4329988,0
5151752731,12.3122411,45.4322907,0
5151752732,12.3122517,45.4320426,0
5151752733,12.3123736,45.4322962,0
5151752734,12.3123853,45.4320463,0
5151752735,12.3125922,45.4323036,0
5151752736,12.312602,45.4321605,0
5151752739,12.3125482,45.432051,0
5151752740,12.3126665,45.4320543,0
5151752741,12.3128169,45.4323103,0
5151752742,12.3128321,45.432059,0
5151752743,12.312951,45.4323143,0
5151752744,12.3129568,45.4320625,0
5151752745,12.3131783,45.432321,0
5151752746,12.3131842,45.4321646,0
5151752749,12.3131307,45.4320675,0
5151752750,12.3132419,45.4320706,0
5151752751,12.3134004,45.432327,0
5151752752,12.3134083,45.4320753,0
5151752753,12.313524,45.4323332,0
5151752756,12.3132477,45.432529,0
5151752754,12.3135339,45.4320789,0
252314171,12.3369947,45.4381501,2
252314174,12.3371501,45.4380431,2
252314179,12.3373708,45.437728,2
252314180,12.3372981,45.4375904,2
252314182,12.3372403,45.4380254,2
252314186,12.3375593,45.4401712,1
252314187,12.3379314,45.4397345,1
49545796,12.3292886,45.447994,6
7886537293,12.3590853,45.4358249,8
7886537290,12.3585206,45.4354867,8
7886537291,12.3586873,45.4355887,8
7886537292,12.3587277,45.4354728,8
298025559,12.3401771,45.442867,1
11945345626,12.3095234,45.4422726,4
11945345625,12.3094433,45.4421795,4
5151752799,12.3126084,45.4327781,0
11945345627,12.3088339,45.4422767,4
11945345636,12.3037406,45.4388032,4
5151752803,12.3134356,45.4332492,0
5151752804,12.3134269,45.4333511,0
11945345638,12.3045828,45.439579,4
11945345637,12.3045022,45.4396142,4
49545834,12.3286771,45.4477334,6
11298013803,12.3498566,45.4347004,8
11298013807,12.3494095,45.4347166,8
1744077425,12.3370415,45.4428818,1
1712554617,12.3400628,45.4398228,9
5134615176,12.336324,45.4380908,2
3022324358,12.3561137,45.4309628,8
3022324362,12.355788,45.4308799,8
3022324365,12.3554386,45.4321955,8
3022324359,12.3559809,45.4316332,8
3022324369,12.3553635,45.4318124,8
3022324380,12.3563532,45.4310237,8
9489318552,12.3577429,45.4330917,8
29065891,12.3149206,45.4412906,4
5214698846,12.3555342,45.4316131,8
10956931805,12.3312331,45.4373167,13
10956931807,12.3303974,45.4371926,13
10956931808,12.3303972,45.4372114,13
194806514,12.3424984,45.4378649,9
8006828786,12.3301241,45.4289935,5
8006828787,12.3299623,45.4290176,5
2272199415,12.3498709,45.4379918,7
2272199416,12.3499298,45.4380239,7
2272199422,12.3584234,45.4382447,7
8006828799,12.3304233,45.4292647,5
5366153986,12.3277553,45.4291418,5
8006828803,12.3308219,45.4295459,5
4347724549,12.3287921,45.4328546,14
4347724550,12.3291003,45.4330169,14
2272199441,12.3574742,45.4389925,7
4930208533,12.3279215,45.4371225,3
2272199442,12.3576083,45.439015,7
3398708519,12.3192347,45.4385821,4
1926988608,12.3185128,45.4450288,10
1926988609,12.3183262,45.4451325,10
1926988613,12.318962,45.4451442,10
1926988614,12.318769,45.4452529,10
1926988617,12.3194935,45.4453777,10
1926988618,12.3190395,45.4454774,10
1926988620,12.3193072,45.4455323,10
1926988621,12.3190504,45.4454705,10
1926988630,12.319818,45.4460066,10
1926988632,12.3186979,45.4460161,10
6216549210,12.3550626,45.4333839,8
6216549211,12.3554881,45.4333673,8
6216549215,12.3516997,45.4345776,8
6216549219,12.3517223,45.4334475,8
4347724666,12.3289982,45.4329599,14
4347724667,12.3288861,45.4330877,14
2262139780,12.3331054,45.4310725,5
2262139781,12.3329033,45.4315535,14
5476877195,12.3188021,45.4345655,0
2262139792,12.3343145,45.4399798,13
2262139793,12.3341834,45.4399758,13
2262139795,12.3345031,45.4403899,1
454984600,12.3045411,45.438509,4
8527872923,12.327172,45.4452236,6
8527872924,12.3271406,45.4452348,6
8527872925,12.3271832,45.4452399,6
8527872926,12.3271514,45.4452509,6
8527872927,12.3271996,45.4452637,6
8527872928,12.3271675,45.4452748,6
8527872929,12.3272123,45.4452822,6
8527872930,12.3271803,45.4452938,6
8527872931,12.3272274,45.4453041,6
8527872932,12.3271951,45.445316,6
8527872933,12.3272393,45.4453212,6
8527872934,12.3272066,45.445333,6
4838949798,12.3169564,45.4446981,10
4838949801,12.3170981,45.4446131,10
2619671469,12.3496872,45.432703,8
1855718331,12.3336953,45.4378328,13
1855718350,12.3333603,45.4380811,13
1855718354,12.333568,45.4377789,13
298025942,12.33964,45.4430231,1
298025948,12.336355,45.4438682,1
4680811489,12.3341067,45.4392863,13
4680811490,12.3343164,45.4391918,13
4473947132,12.315766,45.440216,4
